195a 02bd 0000 0000 fa5c 055b 0000 0000 000c fcc8 f788 fee8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 fdff fd1a 00ca fd9f f6d1 fe6a f727 0623 17df 0000 0000 0000
0000 06bb 0000 0000 f551 02d0 0000 0000 0b42 07e4 ee9d 08aa 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 050e 02a1 061d 0701 0651 0180 08c3 0000 0000 0000 0000
0000 0000 0370 096a 0000 0000 0000 08e5 081c 0ca3 ebc0 034c 0cbb 0839 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0c47 0081 033a 0731 09b2 09b3 0000 0000 0000 0000 0000 0000
0000 0000 048b 09b0 0000 0000 08d2 0785 0cf3 0e5e fdd9 0633 0c03 068a 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 07cc 0c35 0320 0165 0a9d 0725 0000 0000 0000 0000 0000 0000
0922 06fa 0613 068e 0000 0000 0000 0000 08ab 071a f94f 0009 0000 0000 0000 0ae4 0000 0000 00e6 075c 0000 0000 0000 0000 0000 0000 0256 033e 0b15 067c 0000 0000 0000 0000 0000 0000
06e0 0000 096c 0618 0000 0000 0000 0000 0000 06be f919 06d4 0000 0000 02f6 0776 0000 0000 02eb 0565 0000 0000 0000 0000 0000 0000 0530 0470 0946 0646 0000 0000 0000 0000 0000 0000
066f 0583 077d 08cf f91d 0000 0000 0000 0b2a 0e3d f326 04bf 0000 0000 0000 0000 0000 0000 01de 04b1 0000 0000 0655 058d 0000 0000 0484 077c 0f96 0820 063a 0a87 0000 0000 0000 0000
082e 048a 02a5 0930 f941 0594 0000 0000 03a5 01df fcd0 04a2 0000 0000 0000 0000 0000 0000 0dbc 06ab 0000 0000 0cd9 0433 0000 0000 0e53 04ad 05c4 0486 0000 0bf3 0000 0000 0000 0000
051a 030f 06b5 0933 0000 0000 0000 0759 06a7 0ce1 fbef 07e5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0a3e 0266 0c6a 0000 0000 0000 093c 06b6 0795 0c59 0000 0000 0000 0000
113f 05fa 0003 08bf 0000 0000 05c7 04f6 0ba6 0d12 f2ad 0687 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0714 00be 0ddd 033e 0000 0000 0790 066e 0719 09f0 0000 0000 0000 0000
0000 0000 0000 076c 0000 0000 0000 0000 05c0 0906 f954 0000 0000 0000 07bd 074b 092c ffa0 0000 0000 0000 0000 0696 097e 0000 0000 0000 0000 0a53 06b2 078d 0a09 0dbb 0000 0000 0000
0000 0000 ff0a 0704 0000 0000 0000 0000 0351 123c f3e0 0d94 0000 0000 fb7d 04f1 ff0e f8f2 0000 0000 0000 0000 0380 fd1e 0000 0000 0000 0000 0d6c 0452 0814 f779 f55c 0000 0000 0000
07a3 04ab 0000 0000 0000 0000 0000 0000 06ce 1023 f9b4 0000 0000 0000 030e 071e 0000 fa37 0000 0000 0000 0000 0000 0000 fc23 ff84 0000 0000 0e12 0000 0000 0000 0000 0000 0000 0000
0b76 09fe 0000 0000 0000 0000 0000 0000 09df 08e2 faeb 058d 0000 0000 078b 095b 08b4 0294 0000 0000 0000 0000 0000 0000 0493 075e 0000 0000 09ef 04f0 0000 0000 0000 0000 0000 0000
07d1 08e5 0729 0854 0000 0000 fe7e 040f 06f0 0899 f5d7 0342 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 043e 03e3 0000 0000 0cfd 0781 0000 0000 0000 0000 0000 0000
069d 022a 0595 06db 0000 0000 0000 0b6a 0d3a 1284 fbd9 02cc 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 06f1 0000 0000 0000 044c 0670 0000 0000 0000 0000 0000 0000
12fd 09ab 0000 0000 f830 02a7 0000 0000 0874 07d0 f29f fea5 0000 0000 0839 07f2 0000 0000 ffb7 07bb 0000 0000 0000 0000 0490 08de 0075 04c2 057d 0905 0000 0000 0000 0000 0000 0000
0633 0a60 0000 0000 fd9a 052a 0000 0000 07d8 079d f515 062a 0000 0000 0938 0c38 0000 0000 05e3 076a 0000 0000 0000 0000 01f0 06e7 0644 05e7 1070 08fa 0000 0000 0000 0000 0000 0000
0851 08df 045a 04e4 0000 0000 04f0 01e9 07e6 0c05 f955 041e 0000 0000 0000 09f3 0000 0000 0000 0000 0000 0000 0000 0000 0354 02a0 fd36 0476 0b53 059d 0000 0000 0000 0000 0000 0000
0758 0000 0695 076e 0000 0000 0000 0850 05c0 0891 f987 09f8 0000 0000 fc1d 0766 0000 0000 0000 0000 0000 0000 0000 0000 09ec 0000 0054 05b1 0710 05ca 0000 0000 0000 0000 0000 0000
0694 06db 06b0 06f0 0000 0000 0000 08c3 0a80 0d15 0000 0000 0000 0000 054f 0ab6 0000 0000 0000 0000 0000 0000 0000 0000 0440 0519 02a5 09ab 0e22 0816 0000 0000 0000 0000 0000 0000
07de 0000 074a 07fe 0000 0000 feac 0851 0560 09b0 0000 0000 0000 0000 0000 09a2 0000 0000 0000 0000 0000 0000 0000 0000 0e96 fe53 0619 079a 0504 06b6 0000 0000 0000 0000 0000 0000
10b2 0a18 fe04 0554 f975 0978 0000 0000 0736 0518 f408 02ac 0000 0000 0509 08c0 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0440 06fb 02a0 0b93 0000 0000 0000 0000
0784 070b 063c 064b fc31 0000 0000 0000 0709 08ad f760 0000 0000 0000 0000 0832 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0bb3 07c0 071d 0bee 0000 0000 0000 0000
0b02 065c 0486 0411 0000 0000 0305 0123 0432 03d5 0000 0f40 0909 00fe 018f 087d 0000 0000 0000 0000 0000 0000 056e 0066 0000 0000 0764 0451 0f85 0526 07d6 0c07 0000 0000 0000 0000
0ae0 0b64 0580 057b 0000 0000 fddc 0b52 075d 0d8c f2dd 014f 0b60 0872 06c2 0bfd 0000 0000 0000 0000 0000 0000 0932 0790 0000 0000 0420 0759 07fe 0b06 08e7 0000 0000 0000 0000 0000
07aa 081f 03bb 0570 0000 0000 0000 0000 0695 0c0c f8b1 0415 0000 0000 0446 0909 074f 0000 0000 0000 0000 0000 0000 0000 0000 02ba 0000 0000 0b50 0640 038c 0000 0000 0000 0000 0000
1120 05a0 ffaa 050c 0000 0000 0000 0000 0896 0769 f1f6 03f1 0000 0000 029a 07e4 082c 082d 0000 0000 0000 0000 0000 0000 0b81 0470 0000 0000 07fb 0c39 0927 0aa9 0000 0000 0000 0000
fef3 fc39 0b95 0d02 f191 05ef 0000 0000 065e 1244 f1e0 131d 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 1739 f7b7 0000 0000 10e1 0adb 0000 0000 0000 0000 0000 0000
