08 02 fc fd fd fd 00 00 03 fb 00 00 00 00 ff fe 00 00 01 fe 00 00 00 00
04 02 02 05 05 02 00 00 05 f9 00 00 00 00 06 03 00 00 fe 06 00 00 00 00
05 00 00 00 06 03 00 00 02 fd 00 00 00 00 04 03 00 00 00 00 03 02 00 00
06 02 00 00 04 05 00 00 06 f7 00 00 00 00 08 03 00 00 00 00 07 02 00 00
00 00 02 04 03 02 00 00 00 00 00 00 00 00 04 02 00 00 00 00 04 04 00 00
00 00 04 04 02 04 00 00 00 00 00 00 00 00 0a 02 00 00 00 00 08 02 00 00
04 00 01 05 02 01 00 00 ff fb 00 02 00 00 00 00 00 00 00 00 02 03 00 00
00 01 00 03 02 01 00 00 00 fe 02 01 00 00 00 00 00 00 00 00 01 03 00 00
03 fe 00 00 02 03 00 00 00 00 03 00 00 00 03 02 00 00 00 00 01 02 00 00
01 ff 00 00 02 02 00 00 00 00 04 fe 00 00 01 01 00 00 00 00 01 03 00 00
03 00 01 03 01 02 00 00 02 fd 00 00 03 02 03 02 00 00 00 00 03 04 00 00
05 00 02 04 03 05 00 00 02 ff 00 00 02 02 02 02 00 00 00 00 02 04 00 00
03 ff 00 05 06 01 00 00 00 fe 00 00 00 00 03 02 00 00 00 00 03 01 00 00
07 03 03 05 04 05 00 00 05 fb 00 00 00 00 05 03 00 00 00 00 05 04 00 00
04 03 04 05 06 06 00 00 05 fd 00 00 02 05 09 03 00 00 00 00 08 01 00 00
07 02 03 03 02 06 00 00 04 fd 00 00 02 04 04 02 00 00 00 00 04 04 00 00
04 01 01 03 03 02 00 00 02 fd 00 00 02 03 03 02 00 00 00 00 04 03 00 00
03 01 01 04 03 02 00 00 02 fb 00 00 01 03 03 02 00 00 00 00 03 03 00 00
02 02 02 04 03 04 00 00 03 fe 02 03 01 03 03 03 00 00 00 00 03 04 00 00
05 02 00 02 03 02 00 00 03 ff 02 02 02 04 04 01 00 00 00 00 03 01 00 00
00 00 03 04 05 05 00 00 00 00 01 04 00 06 08 03 00 00 01 05 07 ff 00 00
00 00 01 05 04 02 00 00 00 00 04 03 01 04 02 02 00 00 03 03 02 01 00 00
00 00 f6 f9 fe ee 00 00 fb e6 f0 fb 00 00 f7 f9 00 00 00 00 f9 f0 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
